"rank","code","name","value","share","cum_share"
30,"Thailand","Thailand",8308.31854216189,0.00462038184344979,0.884544986062331
31,"Venezuela","Venezuela",7886.47368753901,0.00438578752726399,0.888930773589595
32,"Egypt","Egypt",7471.49002247187,0.00415500882256286,0.893085782412158
33,"Malaysia","Malaysia",7042.40958740084,0.0039163906904437,0.897002173102602
34,"Uzbekistan","Uzbekistan",6750.65283485583,0.00375414033914553,0.900756313441747
35,"United Arab Emirates","United Arab Emirates",5824.23979774046,0.00323894801057729,0.903995261452325
36,"Pakistan","Pakistan",5739.83878003341,0.00319201132563877,0.907187272777963
37,"Austria","Austria",5721.34015187555,0.00318172395819666,0.91036899673616
38,"Viet Nam","Viet Nam",5668.87606712254,0.00315254788563807,0.913521544621798
39,"North Korea","North Korea",5492.66124202741,0.00305455215108787,0.916576096772886
40,"Algeria","Algeria",5476.56807195078,0.00304560249533643,0.919621699268222
41,"Iraq","Iraq",5350.7441443061,0.00297562990246932,0.922597329170692
42,"Belarus","Belarus",5184.22885914085,0.00288302822905849,0.92548035739975
43,"Hungary","Hungary",5182.12668756679,0.00288185917959038,0.928362216579341
